numero_processo,projeto,proponente,municipio,valor_autorizado,valor_total,status,enquadramento,fonte_url,fonte_pagina
2024-7862T,Música E Artes Na Capital Vitória ES,ASSOCIAÇÃO ALEF BET,Vitória,500000,1500000,em_execucao,cota-continuados,https://secult.es.gov.br/lista-de-projetos-habilitados,11
2024-L44FD,Laboratório dos Sonhos,Associação Aprender Cultura,Cariacica,500000,491301.52,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-LMF2Z,Projeto Escolas no Teatro Eliziário Rangel (PETER) | 2º edição,Associação Centro Cultural Eliziário Rangel,Serra,500000,500000,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-HT8QP,Orquestra Brasileira de Cantores Cegos - 3º Repertório,Associação Sociedade Cultura e Arte SOCA,Vila Velha,500000,500000,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-D8SGC,4A Mostra CineMarias,Odoyá Arte e Cultura Produções LTDA,Vitória,500000,500000,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-1V0QR,Mais Cultura Nas Escolas,"ES Práticas Corporais, Culturais, Esportivas e de Saúde LTDA",Cariacica,499896,,concluido,cota-continuados,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-XDJHX,Samba que Eu Quero Ver - Mostra Cultural de Bamba,Odoyá Arte e Cultura Produções LTDA,Vitória,500,500000,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-VM90J,Musicalização Agrícola,Instituto Três Pontões de Ação Social e Cultural,Afonso Cláudio,500,1499970,concluido,cota-fora-rmgv,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-B7ZFZ,Corais das Montanhas,Instituto Três Pontões De Ação Social E Cultural - Instituto Cultural Das Montanhas,Afonso Cláudio,500,1499999,concluido,cota-continuados,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-WCJ53,"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura","Associação Amigos Da Justiça Cidadania, Educação E Arte",Ibiraçu,499999,499999,em_execucao,cota-fora-rmgv,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-7F9L1,Porque é lixo?,Senhora Filmes LTDA,Vitória,494600,494600,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-M66CV,"BATALHA DO N9V: CULTURA, ARTE E LAZER NA FAVELA",INSTITUTO SALOMAO VIX,Vitória,420000,420000,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-Z8S67,Feira de Empreendedorismo LGBTQIA+ do Espirito Santo,ASSOCIACAO GRUPO ORGULHO LIBERDADE E DIGNIDADE-GOLD,Vitória,229095,229095,captacao_expirada,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-L3MTX,ANIMA - 1º ENCONTRO DE CINEMA DE ANIMAÇÃO,R V VAGMAKER PRODUTORA,,311986.16,311986.16,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-VWLGS,Música no Parque,Julia Cabral Abreu Sodré,Vitória,499984.34,486600.99,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-5GVJJ,2º ventania.lab - Laboratório Audiovisual,Ventania Produções Audiovisuais Ltda,,367559.5,367559.5,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-0HB19,Natal da Paz e do Bem,Liebermann Projetos Criativos LTDA,Vila Velha,227050,221650,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-R7GC8,Festival raizes do Samba,Instituto Raízes,Vitória,499999.84,499999.84,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-X6HWG,2ª Festa da Palavra,Instituto Manguere,Itaúnas,483000,500,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-CS62C,Circuito Cultural Jardim Camburi,Associação Comunitária De Jardim Camburi,Vitória,336570.48,336570.48,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2024-0QFT9,"""Teatro vai à escola - De onde vem o dinheiro?""",WB PRODUCOES ARTISTICAS E CULTURAIS LTDA,"Serra; Vitória",397364,397364,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,12
2023-P78XD,“CAFÉ PURO PODCAST”,1440. PRESS EDITORA E CONTEÚDO LTDA,Vitória,243028.5,243028.5,captacao_expirada,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2024-0GZ3G,2º FESTIVAL NACIONAL DE CAPOEIRA,LR PRODUÇÕES,Cariacica,281690,281690,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-V29BR,Amor e Movimento,Monique Cruz Studio de Dança Ltda,São Mateus,321160.02,321160.02,captando,cota-fora-rmgv,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-6NSLP,Café & Cultura: Núcleo de Desenvolvimento de Roteiros,Jargo Ltda,"Dores do Rio Preto; Iúna",236274.15,236274.15,captacao_expirada,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-TQ8C9,Ecos Culturais do Convento,Instituto Brasileiro de Apoio ao Desenvolvimento Social e Econômico,Vila Velha,480000,480000,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-4PQBF,“Legado Irreprimível: As páginas de resistência da obra de Perly Cipriano”,1440.Press Editora e Conteudo Ltda,"Vitória; Barra de São Francisco",267158.49,267158.49,captacao_expirada,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-T72M5,“Jardins do Afeto e da Memória”,Associação Cultural Circense e Ambiental Uma Floresta,Vitória,482000,482000,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-6HNH7,"""A Escola vai ao Teatro""",Ser Oficina de Teatro Ltda/Me,Vitória,136375.69,136375.69,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-5V13M,Cidades 20-30,Instituto Capixaba De Ciências E Administração,Vila Velha,493550,493550,concluido,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2024-518VD,Morte de um Caixeiro Viajante,WB Producoes Artisticas e Culturais Ltda,Vitória,494000,918700,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2024-9VDTT,Festa da Pecuária,Brasil Ticket Ltda,Baixo Guandu,489300,489300,captacao_expirada,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2024-GG084,O Quebra Nozes Capixaba Itinerante,Centro De Entretenimento Liviane Pimenta LTDA,"Aracruz; Cachoeiro de Itapemirim; Linhares",380000,380000,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
2023-LZSX4,"Banda Musical São Sebastião, 73 anos de história",32.178.631 Fernanda de Oliveira Busato,Afonso Cláudio,162000,162000,captacao_expirada,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,13
