numero_processo,projeto,proponente,municipio,valor_autorizado,valor_total,status,enquadramento,fonte_url,fonte_pagina
2022-1810C,"Travessia - O parto à margem, no rio Piraquê-Açu",Karoline Delfino Felicio 09624076740,"Município Vitória; Aracruz; Serra",121811.34,121811.34,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-C4V42,Algazarra Coral: formação vocal e responsabilidade social – ano 2023,Instituto Todos Os Cantos,Vitória,368109.12,368109.12,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-Z2KZF,A Fantástica Carpintaria,Cidade Quintal Serviços de Design e Arte Urbana LTDA,Vitória,115468.47,115468.47,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-19NNC,Espetáculo Alice No País Das Maravilhas,Academia Lenira Borges Ltda,Vitória,107126.41,107126.41,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-9BD9G,Sabor e Saber,SYU EMPREENDEDORISMO S/A,Vitória,468266.8,468266.8,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-JBZVN,Carnaval Folclórico do Boi Pintadinho de Muqui/ES - 2023,Região Sul Capixaba dos Vales e Café Convention & Visitours Bureau.,"Muqui Iúna; Ibitirama; Irupi; Divino São",480712,480712,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-83B3M,State of Coffee,Finordia Produções Culturais Ltda,"Lourenço; Jaguaré; Vila Valério; Sooretama; São Mateus; Conceição da Barra; Venda Nova do Imigrante; Castelo; Conceição do Castelo; Santa",465000,465000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-220W3,Águas Do Itapemirim,Institutos Últimos Refúgios,"Maria; Santa Teresa; Domingos Vargem Alta; Martins; Castelo; Cachoeiro Brejetuba. de Itapemirim; Caparaó; Marataízes",478513.64,478513.64,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-64KD3,8ª TendaLab,Galpão Produções Artísticas e Culturais LTDA,"Vila Velha; Vitória",500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-XJ2XH,Narrativas Periféricas,Kf Trindade Economia Criativa,"Vitória; Vila Velha; Cariacica; Linhares; Cachoeiro",361429.89,361429.89,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-2LCF5,O Fabuloso Mundo das Cores - Heidi Liebermann,Liebermann Projetos Criativos,Aracruz Vitória,478957.18,478957.18,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-TNZCX,11º FECIM - Festival de TV e Cinema de Muqui,Associação Comercial E Empresarial de Muqui - Ace Muqui,Muqui,373868,373868,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-HD6BK,Natal da Paz e do Bem,Liebermann Projetos Criativos,Vila Velha,225042.98,225042.98,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-1XWXJ,Natal Iluminado 2022,Tribuna Publicidade LTDA,Vitória,353904.71,353904.71,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-65X12,Livro “Baía das Tartarugas: Riqueza marinha na capital do Espírito Santo”,Instituto Últimos Refúgios,Vitória,499311.04,499311.04,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-C89QH,Herança Negra - Turnê no Espírito Santo,Jonathan da Silva Santos 08946637714,"Vitória; Vila Velha",161993,161993,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-NCX4M,1ª Etapa do Museu do Mosteiro Zen.,"Instituto Modus Vivendi de Desenvolvimento Social, Cultural e Ambiental",Ibiraçu,368043.02,368043.02,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-1MLZT,Projeto Xapuri,Centro de Treinamento Esportivo Capixaba,Guarapari,473419.64,473419.64,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-HR8RT,Remontagem Do Armazém Do Café De Santa Marta/Ibitirama Como Centro Cultural Multiverso Em Patrimônio Da Penha/ Divino De São Lourenço.,Associação Permacultural Jacutinga do Caparaó,"Divino de São Lourenço; Santa Marta; Ibitirama",415178.68,415178.68,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-MFF4T,"Manutenção do ensino musical gratuito para crianças, adolescentes e jovens da Escola Municipal Agrícola",Paulo Henrique Falqueto Da Silva 09760676761,Afonso Cláudio,162000,162000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-CP09H,Ready to Rock,Instituto Viva Vida,"Vitória-ES; Vila Velha-ES; São Paulo",408492.03,408492.03,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-05G2G,Mostra Povoar,Bule Estúdio Criativo Produções Artísticas LTDA,São Mateus,401222.92,401222.92,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-3Q613,Formemus 2023,Daniel Goncalves Morelo ME,Vitória,452500,732950,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-PC04X,Latasha,Finordia Produções Culturais Ltda,"Vitória; Serra; Vila Velha",450000,450000,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-9NT8C,"2o Festival De Caxambu De Pedra Branca 'Fé, Raça Em Um Só Coração”",Fábio Ravera Lyrio MEI,"Vargem Alta; Castelo; Cachoeiro de Itapemirim; Caparaó e",162000,162000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-Z2R6J,As Quatro Estações de Vivaldi,Washington Luiz Sieleman Almeida 01995900796,"Marataízes Vila Velha; Serra; Domingos Martins",161997.98,161997.98,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-49MMM,Moqueca Pop Festival,Jupter Produção Cultural Capixaba,Cachoeiro de Itapemirim,314563.15,314563.15,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-W3TL3,"Gravações, em Muqui, de cenas do filme ""De tanto amar""",Região Sul Capixaba dos Vales e Café Convention & Visitours Bureau,Muqui,500000,565000,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-9RVGV,6ª edição Manguinhos Jazz & Blues Festival,Júlia Cabral Abreu Sodré 09498778752,Serra,500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-0PP25,5@ Sinfônica Igrejas Históricas Capixabas,Programa de Promoção e Assistência Social,"Vitória; Muqui; Castelo; Venda Nova; Domingos",299510,299510,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-KSSWD,Festival Nacional De Capoeira,Ludmila Rodrigues Gramelisch,"Martins; Alegre Cariacica",158560,158560,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-R4GNW,72º Encontro Nacional de Folias de Reis – Muqui/ES,"Região Sul Capixaba dos Vales e Café Convention & Visitours Bureau;",Muqui,311332,311332,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
2022-1KLD7,“E quem se importa?” - Distribuição e Comercialização de longa-metragem,Andaluz Producoes LTDA-ME,Vitória,408881.87,408881.87,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,25
