numero_processo,projeto,proponente,municipio,valor_autorizado,valor_total,status,enquadramento,fonte_url,fonte_pagina
2023-MB46K,II FESTIVAL DE MÚSICA PRIMAVERA TERESENSE,Associação Comunitária e Cultural Teresense,Santa Teresa,315269.65,502127.65,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-1PRSJ,ENCONTRO DE CULTURAS POPULARES E TRADICIONAIS,ASSOCIAÇÃO ARTISTICA E FOLCLORICA AFRO BRASILEIRA,Cariacica,365748,365748,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2022-M4Z22,Orquestra Filarmônica Moderna Brasileira,Júlia Cabral Abreu Sodré 09498778752,Vitória,491982.2,491982.2,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-WMPXZ,Estúdio Escola de Animação,ATROM PRODUCOES E CONSULTORIA,Vitória,499998,499998,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-32MFD,26º Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,Mimoso do Sul,500000,1150000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-KNQFG,Raiar da Liberdade,Associação de Salvaguarda do Patrimônio Imaterial Cachoeirense,Cachoeiro de Itapemirim,202999.26,202999.26,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-RT9Q4,É isso mesmo produção?! Memória feminina do teatro capixaba,Porto e Stein Produções LTDA-ME,Itapemirim,257777.29,257777.29,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-F8CC5,Festival MC 2024,Movimento Cidade Projetos Criativos LTDA,Vitória,500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-72GQM,Capacitação para fazedores de alegorias e adereços da Escola de Samba Unidos da Piedade,Instituto Raízes,Vitória,499863.38,499863.38,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-5S87C,II Festival Regional de Teatro Infantil – Troféu Pássaro de Fogo,J B Vita Producoes De Arte,Cariacica,494965.6,494965.6,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-QQ6B5,Carnaval Folclórico dos Bois Pintadinhos de Muqui-ES – 2024,Regiao Sul Capixaba Dos Vales E Cafe Convention & Visitors Bureau,Muqui,500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-5XV0S,Convergência Cultural,Associação Cultural Rerigtiba,Anchieta,499999.94,499999.94,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2023-XP8G3,Mostra Povoar,RV Vagmaker Produtora,São Mateus,499271.88,499271.88,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2022-TPG5Z,Projeto Travessia,Mover-se Cia. de Dança,Vitória,487982.36,487982.36,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,18
2022-2NDS4,A Paixão Segundo São João de J. S. Bach (Residência Artística),Fernando Coelho Sabino 98400207149,Vitória,161912.01,161912.01,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-42TC3,Escola De Música Tocando Em Frente,Programa de Promoção e Assistência Social - Casa Verde,Cachoeiro de Itapemirim,499560,499560,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-7S305,Festival Iriri Choro e Samba,Instituto Cultural Música Viva,Anchieta,499879.61,499879.61,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2022-660J2,Baía de Vitória: outras margens possíveis,Daus Design Arquitetura Urbanismo Sustentaveis LTDA,"Vitória; Vila Velha; Cariacica; Serra",498176,498176,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-WTBGJ,Formemus,MM Projetos Culturais,Vitória,500000,962416.64,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-VM876,Restauração e revitalização do casarão Família Baptista,"CAEPES - Castiglioni Consultoria, Assessoria, Estdos e Pesquisas Educacionais Ltda",João Neiva,163797.08,163797.08,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-FK5W3,R2R Música para Todos,Instituto Viva Vida,"Vitória; Serra; Vila Velha",500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-8N872,NADO,Claraboia Imagem e Comunicação LTDA,Vitória,500000,729120.55,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-674P6,Música e Artes na Capital Vitória/ES (Segunda Edição),ASSOCIAÇÃO ALEF BET,Vitória,500000,549851.24,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2022-2QL0F,"ASA ""ATELIER SOCIAL ARTE""","Associação Amigos da Justiça, Cidadania, Educação e Arte",Ibiraçu,499305.1,499305.1,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-WQW4G,Quintal do CSE: Intervenções Socioespaciais Identitárias,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,Cariacica,485087.7,485087.7,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-NBL4R,Espaço Literário Zig Braga,AGÊNCIA DE DESENVOLVIMENTO E INOVACAO SOCIOCULTURAL - ADECULT,Cachoeiro de Itapemirim,479920.3,479920.3,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-BWFJ7,A Fantástica Carpintaria: design circular aplicado a quintais urbanos,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,"Vitória; Serra; Linhares; Patrimônio da Penha",422126.3,422126.3,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-9CL2D,Festival do Sol,Cluster Comunicação e Marketing LTDA,Vila Velha,419115.58,419115.58,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2023-1J09J,V Festival Internacional de Violão do Espírito Santo (FIVES) e VI Concurso Latino-Americano de Violão Maurício de Oliveira,Acordes Centro de Música e Artes LTDA,"Vitória; Vila Velha; Guarapari",305796.62,305796.62,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,19
2022-C2367,DançIdade - Dança Contemporânea na Maturidade,LAUDENI SALES MARTINS 73194735772,Vitória,141034.48,141034.48,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-WXS00,Moqueca Pop Verão - Edição Marataízes,J C PIRES ME,Marataízes,479163.3,479163.3,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-TV1JV,VIII Seminário Internacional Arte!brasileiros,TENDENCIA CONSULTORIA EMPRESARIAL LTDA -EPP,Vitória,489610,489610,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2022-BH1S5,Memórias Capixabas - Sul do Espírito Santo,Liebermann Projetos Criativos,Cachoeiro de Itapemirim,479163.3,479163.3,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-NB5P3,14ª Festa Folclórica de Santo Antônio do Muqui,Associação Oficina da Vida - ONG,Mimoso do Sul,331937.73,331937.73,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-4ZD16,ExpoSul Cultural 2023,Sindicato Rural de Cachoeiro do Itapemirim,Cachoeiro de Itapemirim,277580,277580,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-4MWGM,"Escola De Fotógrafos Cegos: A Exposição, 4 Cidades",Associação Sociedade Cultura e Arte SOCA,"Linhares; São Mateus; Colatina; Cachoeiro de Itapemirim",487271.84,487271.84,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2022-595FN,Roda de Boteco - Grande Vitória,Conexxo Serviços e Gestão de Eventos LTDA,Vila Velha,500000,983040,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-4TB56,Orquestra da Quebrada (Orquestra Jovem Capixaba - Concertos na Grande Vitória),Tonobooks Producoes LTDA,Vitória,499485,499485,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-8Z0GK,Oficinas de Formação Música Clássica,Tonobooks Producoes LTDA,Vitória,499620,499620,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-S55BB,Reencontros - Ocupações Artísticas no Museu Capixaba do Negro MUCANE,Jupter Produção Cultural Capixaba,Vitória,499999.15,499999.15,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-VSJGD,Natureza Despertada,Global Village Creative E Executive Produtora Ltda,"Colatina; João Neiva; Pancas; Alegre; Cachoeiro; Guaçuí; região do caparaó",395000,395000,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2022-H0SNV,BRAVOS - A Vila do Fim do Mundo,Global Village Creative E Executive Produtora Ltda,Vitória,419181.43,419181.43,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
