numero_processo,projeto,proponente,municipio,valor_autorizado,valor_total,status,enquadramento,fonte_url,fonte_pagina
2023-G9CPF,Circulação do Espetáculo “Fuscalhaço”,Árvore Casa das Artes,"Marechal Floriano; Santa Teresa; Aracruz; João Neiva; Linhares; Anchieta",349745.99,349745.99,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-RVPM7,Núcleo De Formação Musical Em Sanfona E Viola De São Pedro Do Itabapoana,Associação Dos Moradores Da Comunidade De São Pedro Do Itabapoana,Mimoso do Sul,380471.68,380471.68,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-6MBHB,"Tratamento Técnico do Acervo Gráfico Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização",Instituto de Pesquisa e Documentação Cariaciquense,Cariacica,499855.55,499855.55,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-BLDNJ,Mais Cultura Nas Escolas 2ª Edição,"Es Práticas Corporais, Culturais, Esportivas E De Saúde Ltda","Vitória; Cariacica",373361.6,373361.6,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-RC4LK,Jose Carlos Vilar. Precisão e suavidade,Instituto Modus Vivendi,Vitória,490437.23,490437.23,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2022-G4S2Z,Dançando para não Dançar,Luciano Dos Santos Coelho 11036601790,Serra,68056,68056,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2022-XLQ1B,A Trupe Barroca: Uma Nova Mùsica Antiga 2024,WS Projetos Criatrivos LTDA,"Vitória; Vila Velha; Colatina",494381.9,494381.9,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,20
2023-08G7S,V De Recreio em Recreio,Brenda Caetano Perim 16320342714,Cachoeiro de Itapemirim,125296.69,125296.69,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-PMCBV,"""Caravana Pé na Estrada"" - 5ª Edição",João Paulo Stein Loureiro 11705821766,Itapemirim,47200,47200,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-K1BQH,Tornando Ideias Realidade,Alpha Empreendimentos Ltda - Galpão De Ideias,São Mateus,390000,390000,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-GJ366,Samba Que Eu Quero Ver - Mostra Cultural de Bamba,Expurgação Filmes e Produções Artísticas LTDA,Vitória,500000,900000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-MJHMK,Festival Novos Cantores - 2ª Edição,Medusa Estudio E Producoes LTDA,Vila Velha,476619,476619,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2022-7C0QL,"Festival de Arte Contemporânea - Futuros Imaginados, presentes possíveis.",Claraboia Imagem e Comunicação LTDA,Vitória,485475.96,485475.96,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2022-W21MB,Programa de Residência do Mosteiro Zen Morro da Vargem 2023.,MOSTEIRO ZEN MORRO DA VARGEM- MZMV,Ibiraçu,499955.2,499955.2,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-KTH9X,Coral ArcelorMittal 2023,MM PROJETOS CULTURAIS,Vitória,500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-R3WJX,"MOINHO VITÓRIA: Remoção, Restauro e Reinstalação",Escritório de Arte Celso Adolfo LTDA,Vila Velha,122241.66,122241.66,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2023-99NV8,FESTIVAL OYÁ,RAQUEL WANDERLEY DO AMARAL 08732225717,Vitória,159745.74,159745.74,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2022-M8QTV,Araçá-una: ciclos de cocriação,Projetos e Comunicação em Rede LTDA,Aracruz,473419.46,473419.46,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2022-KWQZJ,Literomusical Ambiental Alman’arte: artes em biocomposição,Grupo Moxuara Produções Artísticas LTDA - ME,"Castelo; Domingos Martins; Cariacica",234894,234894,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2022-H1FMV,Pacifista,YAGO FIGUEIRA COSTA 14316324730,Vitória,160000,160000,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,21
2022-VVS3B,Residência Artística - Flávia Dalla Bernardina,Global Village Creative E Executive Produtora Ltda,"Vitória; Nova York - NY/EUA",58116,58116,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-MH58P,A Máquina Do Tempo Musical,Leonardo Gonçalves Pereira 05282638703,"Vitória; Serra; Cariacica; Vila Velha; Viana; Guarapari",161667.28,161667.28,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-6C05R,A Bela e a Fera,Mover-se Cia. de Dança,Vitória,489429.7,489429.7,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-CBTLT,Super Macakids unidos pelo meio ambiente!,Macakids Comercio E Servicos Infantis Eireli,"Vitória; Serra; Vila Velha",500000,500000,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-DVCCG,Arte e ambiente inteiro,Editora Maré,Vitória,369853.99,369853.99,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-NLCS2,"Construir, Tocar e Cantar para Transformar",Centro Cultural Araça,São Mateus,499841.9,499841.9,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-HC6PC,REVOADA-CIRCULAÇÃO DO ESPETÁCULO DE RUA PASSARINHEIROS,REPERTÓRIO ARTES CÊNICAS LTDA,"Vila Velha; Cariacica; Serra; Vitória; Aracruz; São Mateus; Guarapari; Linhares; Colatina; Cachoeiro de Itapemirim e",289991.61,289991.61,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-0SN3K,Cinema de Griô,"Instituto de Desenvolvimento Social e Gestão de Produção Cultural, Artística e Audiovisual - Marlin Azul",Aracruz Vitória,499937,499937,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-BDWKG,Folclórica,Fábulas Negras Produções Artísticas Ltda. ME,Guarapari,499995,499995,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2023-JXCJ3,CAPPITELLA – FESTA DO CAPPELLETTI E DA TAGLIATELLA 2023,ASSOCIAÇÃO FESTA DA CAPPITELLA - AFECAPI,Nova Venécia,500000,1028150,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2023-Z3J6P,JAZZ VITÓRIA FESTIVAL,ROTA SERVICE LTDA,Vitória,500000,700000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-6XZW4,The Hidden,MANSUR E MENDONCA FASHION & DESIGN COMPANY LTDA,Vila Velha,488635.01,488635.01,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-FJR20,Festival MC 2023 {Mostra Cena Capixaba Ciclo nº 2,Puri Producoes E Eventos LTDA,Vitória,499808.74,1340081.44,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2023-5F2QL,95a. Festa de São Pedro - edição 2023,Colônia de Pescadores e Aquicultores Z-5 Maria Ortiz,Vitória,317231,840000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-CR61F,Projeto Maestro Max Carvalho,MAX C. CARVALHO MUSIC,"Cariacica; Espanha",162000,162000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-ZZBV5,Centro Cultural Projeto Caiman,Instituto Marcos Daniel,Serra,413820.84,413820.84,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-HH970,"Encantando Pessoas, Celebrando A Natureza",Porto E Stein Produções LTDA-ME,"Vitória; Guarapari; Cariacica; Linhares; Marechal",316411.12,316411.12,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2023-MZ120,Festival Internacional De Jazz E Bossa De Santa Teresa - Santajazz - 10ª Edição,Rota Service Ltda,Floriano Santa Teresa,500000,700000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-CD23H,Cinema é Coisa Séria,Viana Projetos Culturais LTDA,"Vitória; Vila Velhae Serra",499961.86,499961.86,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,22
2022-GHF1N,Olha Pro Céu Meu Amor,Fabrício De Jesus Santos 13081898773,"Mucurici; Ponto Belo; Montanha; Pinheiros; Santa Maria de Jetibá; Itaguaçu; Vila",161076.8,161076.8,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-8S91R,Marien Calixte Jazz Music Festival - 4a. Edição,Daniel Goncalves Morelo ME,"Pavão; Muqui. Vitória; Vila Velha",499984.86,795984.86,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-R4K8H,Memórias do Quilombo Monte Alegre,Associação de Salvaguarda do Patrimônio Imaterial Cachoeirense,Cachoeiro de Itapemirim,304173.94,304173.94,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2023-LGC1J,25o Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,Mimoso do Sul,500000,1143000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-S4TPC,Fabricação e Musicalização da Flauta Transversal,Marcos Alberto Penitenti Neto 13877278779,Colatina,118307.5,118307.5,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-1557P,CineMarias Mulheres Protagonistas - 2023,Puri Produções e Eventos LTDA,Vitória,500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-40RJ2,Modernização museológica do Museu Aberto das Tartarugas Marinhas da Fundação Projeto Tamar em Vitória/ES,Fundação Centro Brasileiro De Proteção E Pesquisa Das Tartarugas Marinhas,Vitória,700000,700000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-JTL99,Mostra Comemorativa 30 Anos do Festival de Cinema de Vitória,Instituto Brasil de Cultura e Arte - IBCA,Vitória,500000,1545540.04,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-WT5FZ,Caravana Combiousa - Expedição Monte Aghá,Saulo Ribeiro Amorim 07041380777,"Vitória; Piúma",237047.39,240962.39,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-8KN40,Vozes Plurais,CINE TEATRO RIBALTA LTDA,Vitória,464399.64,464399.64,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-QNZ17,"Nano Viana, 20 anos",Expurgação Filmes e Produções Artísticas LTDA,Vitória,249999.95,249999.95,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-T58GX,RUBEM BRAGA - A VIDA EM VOZ ALTA - Circulação pelo ES,WB PRODUCOES ARTISTICAS E CULTURAIS LTDA.ORG,"Vitória; Colatina; Viana; Guaçuí; Cachoeiro de Itapemirim; São Mateus; Serra",419650,419650,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-HZM71,Origraffes (Original Graffiti Espírito Santo),Starley Bonfim Silva LTDA,Serra,,,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-PS1Q5,Crias.Lab 2023,Puri Produções E Eventos LTDA,Cariacica,500000,901600,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-MH6GF,Do Barroco a Jobim - Uma Viagem pela Música,Dennys Batista Serafim 11814243720,"Santa Teresa; Colatina; Santa Maria do Jetibá; João Neiva; Santa",161925.36,161925.36,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-61S2R,FECSTA -6 - Festival De Cinema De Santa Teresa,Satírica Filmes Produções LTDA,"Teresa Vitória; Santa Teresa",494479,744479,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2023-PH2D3,"Festa da Penha 2023 ""Com Maria, chamados a Servir""",Associação dos Amigos do Convento de N. S. da Penha,"Vitória; Vila Velha; Cariacica",500000,1307700,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,23
2022-185J7,Centro Cultural Luz Del Fuego,Marco Antonio Reis Da Silva 15147346724,Cachoeiro de Itapemirim,161983.12,161983.12,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-D7K3C,Natal de Encantos - 2023,COES - Cia de Ópera do Espírito Santo,Vitória,500000,1253600,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-5949M,Põe Fermento No Menino Melequento,Porto E Stein Produções LTDA-ME,Vitória,154165.84,154165.84,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-DRBWG,Raiar da Liberdade,Associação de Salvaguarda do Patrimônio Imaterial Cachoeirense,Cachoeiro de Itapemirim,165866,165866,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-CC9TK,Baile Voador: ressaca do carnaval 2023,Sagui Produções E Eventos LTDA,Vitória,500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-B0CCP,Prêmio da Música Capixaba - 2a. Edição,Daniel Goncalves Morelo ME,Vitória,462598,462598,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-RTPHL,Carnaval de Congo de Máscaras de Roda D’Água de Cariacica-2023,Associação de Bandas de Congo de Cariacica - ABCC,Cariacica,470290,550640,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-7D9CX,Encontro Das Pretas - 9a Edição,Instituto Das Pretas.Org,"Vila Velha Alegre; Apiacá",500000,500000,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-8LMZ7,Residência literária nas montanhas do Caparaó,Danyel Ferreira Sueth 08636705711,"Bom Jesus do Norte; Divino São Lourenço; Dores do Rio Preto; São José do Calçado; Guaçuí; Iúna",161622.55,161622.55,em_execucao,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-92247,"Jogo Digital: ""12 Anos no ES""",Mito Games Ltda,"Ibatiba; Ibitirama; Irupi; Muniz Freire Vitória",484842.05,734290.05,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-PKJ52,Carnaval Cultural de Mimoso do Sul/ES - 2023,Associação Oficina da Vida - ONG,Mimoso do Sul,477512,477512,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-2ZKZG,Carnaval Multicultural de Atílio Vivácqua/ES - 2023,Associação Oficina da Vida - ONG,Atílio Vivácqua,366127,366127,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-CSTK7,11° Festival de Música Erudita do Espírito Santo,Companhia de Ópera do Espírito Santo,"Vitória; Serra",440553,940553,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-B6CR0,23º Festival Nacional de Teatro de Guaçuí,"Grupo Teatral Gota, Pó e Poeira",Guaçuí,189202,189202,concluido,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
2022-0GW77,Do cheiro do café em flor,De Repente o Rio Produções Cinematográficas e Artísticas LTDA,Alegre,500000,900000,captacao_expirada,,https://secult.es.gov.br/lista-de-projetos-habilitados,24
